ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
99,1,0.05,1.33,0.78,-0.61,-0.05,-0.11,2,0.06,1.31,0.8,-0.58,-0.06,-0.1,-98.26837204210962
100,1,0.06,1.31,0.8,-0.58,-0.06,-0.1,2,0.07,1.3,0.82,-0.55,-0.06,-0.08,-98.26837204210962
101,1,0.07,1.3,0.82,-0.55,-0.06,-0.08,2,0.08,1.29,0.84,-0.53,-0.07,-0.07,-98.26837204210962
102,1,0.08,1.29,0.84,-0.53,-0.07,-0.07,3,0.09,1.28,0.85,-0.56,-0.07,-0.11,-98.26837204210962
103,1,0.09,1.28,0.85,-0.56,-0.07,-0.11,1,0.1,1.26,0.84,-0.58,-0.08,-0.07,-98.26837204210962
104,1,0.1,1.26,0.84,-0.58,-0.08,-0.07,3,0.1,1.25,0.85,-0.61,-0.08,-0.11,-98.26837204210962
105,1,0.1,1.25,0.85,-0.61,-0.08,-0.11,2,0.11,1.24,0.86,-0.61,-0.09,-0.1,-98.26837204210962
106,1,0.11,1.24,0.86,-0.61,-0.09,-0.1,3,0.12,1.22,0.87,-0.64,-0.09,-0.13,-98.26837204210962
107,1,0.12,1.22,0.87,-0.64,-0.09,-0.13,0,0.13,1.21,0.87,-0.67,-0.1,-0.13,-98.26837204210962
108,1,0.13,1.21,0.87,-0.67,-0.1,-0.13,2,0.14,1.19,0.87,-0.67,-0.11,-0.13,-98.26837204210962
109,1,0.14,1.19,0.87,-0.67,-0.11,-0.13,2,0.15,1.18,0.89,-0.63,-0.11,-0.12,-98.26837204210962
110,1,0.15,1.18,0.89,-0.63,-0.11,-0.12,1,0.16,1.16,0.89,-0.65,-0.12,-0.09,-98.26837204210962
111,1,0.16,1.16,0.89,-0.65,-0.12,-0.09,3,0.17,1.15,0.9,-0.68,-0.12,-0.13,-98.26837204210962
112,1,0.17,1.15,0.9,-0.68,-0.12,-0.13,0,0.17,1.13,0.9,-0.71,-0.13,-0.13,-98.26837204210962
113,1,0.17,1.13,0.9,-0.71,-0.13,-0.13,2,0.18,1.12,0.89,-0.71,-0.14,-0.14,-98.26837204210962
